Keyword;Search Volume;CPC;Competition;Number of Results;Trends
"maneiras de fumar";"30";"0.00";"0.12";"3500000";"0.11,0.11,0.11,0.11,0.22,0.11,0.11,1.00,0.11,0.11,0.11,0.11"
"como evitar a vontade de fumar";"10";"3.92";"0.32";"562000";"0.20,0.20,0.20,0.20,0.40,0.20,0.20,1.00,0.20,0.20,0.20,0.20"
"dicas para largar o cigarro";"10";"0.84";"0.06";"132000";"0.11,0.11,0.11,0.11,1.00,0.11,0.44,0.22,0.33,0.11,0.33,0.11"
"formas de fumar";"10";"0.00";"0.06";"26500000";"0.29,0.14,0.29,1.00,0.14,0.43,0.14,0.14,0.14,0.29,0.14,0.71"
"não fumo mais";"10";"0.00";"0.06";"30600000";"0.14,0.14,0.14,0.14,0.29,0.14,0.57,0.14,0.71,0.14,1.00,0.14"
"como deixar o cigarro";"10";"0.00";"0.27";"7480000";"0.14,0.14,0.14,0.14,0.29,0.14,0.57,0.14,0.71,0.14,1.00,0.14"
"dicas para quem parou de fumar";"10";"1.44";"0.02";"343000";"0.33,0.33,0.33,0.33,0.33,0.33,0.67,1.00,0.67,0.33,0.33,0.33"
"eu vou parar de fumar";"10";"0.00";"0.05";"11400000";"0.33,0.33,0.33,0.33,0.67,1.00,0.33,0.33,0.67,0.33,0.33,0.33"
"nao fumo mais";"10";"0.00";"0.05";"14700000";"0.20,0.40,0.20,0.60,0.20,1.00,0.20,0.20,0.20,0.80,0.20,0.60"
"ajuda para parar de fumar gratis";"10";"0.00";"0.00";"16800000";"1.00,0.22,0.11,0.11,0.11,0.11,0.00,0.11,0.11,0.22,0.00,0.11"
"estou parando de fumar o que fazer";"10";"2.08";"0.30";"111000000";"0.29,0.14,0.29,1.00,0.14,0.29,0.14,0.14,0.14,0.43,0.14,0.57"
"modos de fumar";"10";"0.00";"0.07";"5970000";"1.00,0.43,1.00,0.29,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.29"
"como parar";"3600";"0.04";"0.01";"85900000";"0.55,0.66,0.55,0.66,0.66,0.66,0.66,0.66,0.82,1.00,1.00,1.00"
"como fumar";"2400";"2.40";"0.00";"60100000";"1.00,1.00,0.79,0.79,0.79,1.00,0.79,1.00,1.00,1.00,1.00,1.00"
"remedio caseiro para parar de fumar";"1900";"0.56";"0.31";"43000";"0.53,0.84,0.84,1.00,0.84,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
"como deixar de fumar remedio caseiro";"1000";"0.40";"0.25";"0";"0.55,1.00,0.62,0.81,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62"
"como para";"720";"0.00";"0.00";"275032000";"0.82,1.00,0.67,0.82,0.82,1.00,1.00,0.82,1.00,1.00,0.82,1.00"
"como parar de fumar naturalmente";"720";"0.68";"0.21";"6140000";"0.32,0.48,0.39,0.88,0.88,1.00,0.88,0.72,0.59,0.59,0.59,1.00"
